MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY
FEDXDF5,F,PR,3,SUC,45,0,2.2222222222222223,0,0,36,1.6118601064623652
FEDXDF6,F,PR,3,SUC,33,0,2.142857142857143,0,0,28,1.3471433344470432
FEDXDF7,F,PR,3,SUC,19,0,1.9473684210526316,0,0,19,0.8621015616137936
FEDXDF8,F,PR,3,SUC,25,0,2.0434782608695654,0,0,23,1.1757021554539515
FEDXDF9,F,PR,3,SUC,22,0,2,0,0,21,0.9738377709935465
FEDXDF10,F,PR,3,SUC,65,0,2.066666666666667,0,0,60,2.893929447071906
FEDXDF1,F,PR,4,CAS5,66,0,2.0483870967741935,0,0,62,2.7166504381694256
FEDXDF2,F,PR,4,CAS5,77,77,2.0434782608695654,1,0.043696745,69,3.0150753768844223
FEDXDF3,F,PR,4,CAS5,63,63,2.017543859649123,1,0.044105756,57,2.514028080664527
FEDXDF4,F,PR,4,CAS5,80,80,2.1363636363636362,1,0.043973225191772124,66,2.9022328626569602
FEDXDF5,F,PR,4,CAS5,55,0,2.0588235294117645,0,0,51,2.2946271230924973
FEDXDF6,F,PR,4,CAS5,58,0,2.036363636363636,0,0,55,2.500410420902421
FEDXDF7,F,PR,4,CAS5,79,0,2.026315789473684,0,0,76,3.3540920904231846
FEDXDF8,F,PR,4,CAS5,63,0,2.033333333333333,0,0,60,2.6929982046678633
FEDXDF9,F,PR,4,CAS5,80,0,2.0259740259740258,0,0,77,3.387427901065598
FEDXDF10,F,PR,4,CAS5,54,0,1.9814814814814814,0,0,54,2.378883735728533
FEDXDF1,F,PR,4,SUC,33,0,1.9696969696969697,0,0,33,1.4720824762707245
FEDXDF2,F,PR,4,SUC,47,0,1.9787234042553192,0,0,47,2.091419247979036
FEDXDF3,F,PR,4,SUC,48,0,1.9791666666666667,0,0,48,2.146770526629645
FEDXDF4,F,PR,4,SUC,43,0,2,0,0,42,1.8586583731822148
FEDXDF5,F,PR,4,SUC,48,0,2,0,0,47,2.1245871997388215
FEDXDF6,F,PR,4,SUC,39,0,2,0,0,38,1.7428527748050755
FEDXDF7,F,PR,4,SUC,48,0,2,0,0,47,2.1564029363784663
FEDXDF8,F,PR,4,SUC,41,0,1.975609756097561,0,0,41,1.898587636026858
FEDXDF9,F,PR,4,SUC,46,0,1.9782608695652173,0,0,46,2.2420796100731115
FEDXDF10,F,PR,4,SUC,52,0,2,0,0,51,2.2561657470784127
FEDXDF11,F,NR,0,MIX,240,9.6,3.176470588235294,25,1.1368947614415825,17,0.7730884377802761
FEDXDF11,F,NR,0,MIX,319,11,2.577777777777778,29,0.6003139572995071,45,0.9315216578785456
FEDXDF12,F,NR,0,MIX,271,8.741935483870968,2.7777777777777777,31,1.3349921048854012,54,2.3254701181874733
FEDXDF12,F,NR,0,MIX,304,10.857142857142858,2.509259259259259,28,0.650125446,108,2.5076267196398514
FEDXDF13,F,NR,0,MIX,258,16.125,2.75,16,0.6873016251819679,104,4.467460563682791
FEDXDF13,F,NR,0,MIX,340,34,2.596685082872928,10,0.2125260491997804,181,3.846721490516025
FEDXDF14,F,NR,0,MIX,1,0,1,0,0,1,0
FEDXDF14,F,NR,0,MIX,164,10.933333333333334,2.68,15,0.8297225039181341,50,2.7657416797271135
FEDXDF14,F,NR,0,MIX,206,12.875,2.513157894736842,16,0.6455734507918361,76,3.066473891261222
FEDXDF15,F,NR,0,MIX,145,9.0625,2.5588235294117645,16,0.669814173,34,1.4233551177989163
FEDXDF15,F,NR,0,MIX,272,11.826086956521738,2.761904761904762,23,0.9936874444951156,84,3.6291193625039004
FEDXDF15,F,NR,0,MIX,175,17.5,2.6933333333333334,10,0.4090444267696853,75,3.067833200772639
FEDXDF16,F,NR,0,MIX,256,36.57142857142857,2.3875,7,0.3011868194910899,160,6.8842701597963405
FEDXDF16,F,NR,0,MIX,307,14.619047619047619,2.522727272727273,21,0.43645936771124405,132,2.743458882756391
FEDXDF17,F,NR,0,MIX,81,11.571428571428571,2.4482758620689653,7,0.40828891301177883,29,1.6914826396202267
FEDXDF17,F,NR,0,MIX,271,10.84,2.7721518987341773,25,1.0707020236268248,79,3.383418394660766
FEDXDF17,F,NR,0,MIX,229,9.956521739130435,2.6875,23,0.9345477939931602,64,2.600480818067924
